CMDLINE /home/julian/.local/share/virtualenvs/code-tW9RC7Ez/bin/python test.py
CHLD 28609 12.582031 1691762321.5645
CHLD 28610 479.101562 1691762321.5646
CHLD 28611 500.597656 1691762321.5646
CHLD 28612 458.195312 1691762321.5646
CHLD 28613 479.339844 1691762321.5646
CHLD 28614 501.070312 1691762321.5647
MEM 3035.531250 1691762321.6738
CHLD 28608 52.062500 1691762321.6974
CHLD 28609 12.582031 1691762321.6975
CHLD 28610 479.101562 1691762321.6975
CHLD 28611 457.882812 1691762321.6976
CHLD 28612 479.613281 1691762321.6976
CHLD 28613 479.339844 1691762321.6977
CHLD 28614 501.070312 1691762321.6977
MEM 3014.421875 1691762321.8111
CHLD 28608 52.062500 1691762321.8187
CHLD 28609 12.582031 1691762321.8188
CHLD 28610 500.726562 1691762321.8188
CHLD 28611 500.597656 1691762321.8188
CHLD 28612 479.613281 1691762321.8188
CHLD 28613 479.339844 1691762321.8189
CHLD 28614 467.445312 1691762321.8189
MEM 3014.375000 1691762321.9263
CHLD 28608 52.062500 1691762321.9439
CHLD 28609 12.582031 1691762321.9439
CHLD 28610 457.972656 1691762321.9439
CHLD 28611 500.582031 1691762321.9440
CHLD 28612 479.613281 1691762321.9440
CHLD 28613 500.828125 1691762321.9440
CHLD 28614 479.570312 1691762321.9440
MEM 3078.464844 1691762322.0515
CHLD 28608 52.062500 1691762322.0621
CHLD 28609 12.582031 1691762322.0622
CHLD 28610 479.183594 1691762322.0622
CHLD 28611 500.582031 1691762322.0622
CHLD 28612 500.992188 1691762322.0622
CHLD 28613 500.828125 1691762322.0623
CHLD 28614 501.070312 1691762322.0623
MEM 2907.406250 1691762322.1691
CHLD 28608 52.062500 1691762322.1802
CHLD 28609 12.582031 1691762322.1802
CHLD 28610 479.183594 1691762322.1803
CHLD 28611 457.867188 1691762322.1803
CHLD 28612 458.195312 1691762322.1803
CHLD 28613 458.066406 1691762322.1803
CHLD 28614 458.285156 1691762322.1804
MEM 2950.167969 1691762322.2878
CHLD 28608 52.062500 1691762322.3095
CHLD 28609 12.582031 1691762322.3096
CHLD 28610 458.097656 1691762322.3096
CHLD 28611 457.867188 1691762322.3096
CHLD 28612 479.613281 1691762322.3097
CHLD 28613 479.359375 1691762322.3097
CHLD 28614 479.546875 1691762322.3097
MEM 3004.921875 1691762322.4174
CHLD 28608 52.062500 1691762322.4243
CHLD 28609 12.582031 1691762322.4243
CHLD 28610 479.183594 1691762322.4243
CHLD 28611 457.867188 1691762322.4243
CHLD 28612 500.992188 1691762322.4244
CHLD 28613 500.898438 1691762322.4244
CHLD 28614 479.546875 1691762322.4244
MEM 3035.718750 1691762322.5315
CHLD 28608 52.062500 1691762322.5453
CHLD 28609 12.582031 1691762322.5453
CHLD 28610 479.183594 1691762322.5454
CHLD 28611 500.582031 1691762322.5454
CHLD 28612 500.992188 1691762322.5454
CHLD 28613 478.648438 1691762322.5454
CHLD 28614 501.046875 1691762322.5455
MEM 3014.453125 1691762322.6533
CHLD 28608 52.062500 1691762322.6676
CHLD 28609 12.582031 1691762322.6677
CHLD 28610 500.718750 1691762322.6677
CHLD 28611 457.867188 1691762322.6678
CHLD 28612 479.613281 1691762322.6678
CHLD 28613 479.398438 1691762322.6678
CHLD 28614 501.046875 1691762322.6678
MEM 2832.371094 1691762322.7746
CHLD 28608 52.062500 1691762322.7988
CHLD 28609 12.582031 1691762322.7988
CHLD 28610 296.515625 1691762322.7988
CHLD 28611 457.882812 1691762322.7988
