CMDLINE /home/julian/.local/share/virtualenvs/code-tW9RC7Ez/bin/python test.py
CHLD 25959 501.753906 1691760749.3007
CHLD 25960 459.371094 1691760749.3008
CHLD 25961 459.164062 1691760749.3008
MEM 2540.109375 1691760749.4072
CHLD 25956 51.957031 1691760749.4250
CHLD 25957 12.582031 1691760749.4250
CHLD 25958 480.730469 1691760749.4251
CHLD 25959 459.167969 1691760749.4251
CHLD 25960 480.589844 1691760749.4251
CHLD 25961 480.367188 1691760749.4251
MEM 2586.484375 1691760749.5318
CHLD 25956 51.957031 1691760749.5475
CHLD 25957 12.582031 1691760749.5475
CHLD 25958 502.230469 1691760749.5476
CHLD 25959 501.753906 1691760749.5476
CHLD 25960 502.089844 1691760749.5476
CHLD 25961 459.164062 1691760749.5476
MEM 2561.523438 1691760749.6573
CHLD 25956 51.957031 1691760749.6633
CHLD 25957 12.582031 1691760749.6633
CHLD 25958 502.230469 1691760749.6634
CHLD 25959 501.683594 1691760749.6634
CHLD 25960 480.468750 1691760749.6634
CHLD 25961 480.472656 1691760749.6634
MEM 2379.398438 1691760749.7699
CHLD 25956 51.957031 1691760749.7762
CHLD 25957 12.582031 1691760749.7762
CHLD 25958 297.980469 1691760749.7763
CHLD 25959 501.683594 1691760749.7763
CHLD 25960 501.968750 1691760749.7763
CHLD 25961 480.472656 1691760749.7763
MEM 2433.433594 1691760749.8840
CHLD 25956 51.957031 1691760749.8974
CHLD 25957 12.582031 1691760749.8974
CHLD 25958 450.015625 1691760749.8975
CHLD 25959 501.683594 1691760749.8975
CHLD 25960 297.898438 1691760749.8975
CHLD 25961 502.097656 1691760749.8975
MEM 2348.867188 1691760750.0063
CHLD 25956 51.957031 1691760750.0132
CHLD 25957 12.582031 1691760750.0132
CHLD 25958 471.394531 1691760750.0133
CHLD 25959 501.683594 1691760750.0133
CHLD 25960 297.898438 1691760750.0133
CHLD 25961 480.472656 1691760750.0134
MEM 2379.867188 1691760750.1230
CHLD 25956 51.957031 1691760750.1303
CHLD 25957 12.582031 1691760750.1303
CHLD 25958 492.894531 1691760750.1303
CHLD 25959 501.683594 1691760750.1304
CHLD 25960 297.898438 1691760750.1304
CHLD 25961 502.097656 1691760750.1304
MEM 2166.812500 1691760750.2364
CHLD 25956 51.957031 1691760750.2422
CHLD 25957 12.582031 1691760750.2422
CHLD 25958 492.894531 1691760750.2422
CHLD 25959 297.894531 1691760750.2423
CHLD 25960 297.898438 1691760750.2423
CHLD 25961 480.457031 1691760750.2423
MEM 2188.437500 1691760750.3489
CHLD 25956 51.957031 1691760750.3563
CHLD 25957 12.582031 1691760750.3563
CHLD 25958 492.894531 1691760750.3563
CHLD 25959 297.894531 1691760750.3564
CHLD 25960 297.898438 1691760750.3564
CHLD 25961 502.082031 1691760750.3564
MEM 1994.191406 1691760750.4620
CHLD 25956 51.957031 1691760750.4664
CHLD 25957 12.582031 1691760750.4664
CHLD 25958 502.527344 1691760750.4664
CHLD 25959 297.894531 1691760750.4665
CHLD 25960 297.898438 1691760750.4665
CHLD 25961 297.953125 1691760750.4665
MEM 1994.191406 1691760750.5711
CHLD 25956 51.957031 1691760750.5756
CHLD 25957 12.582031 1691760750.5756
CHLD 25958 502.527344 1691760750.5756
CHLD 25959 297.894531 1691760750.5757
CHLD 25960 297.898438 1691760750.5757
CHLD 25961 297.953125 1691760750.5757
MEM 1994.191406 1691760750.6803
CHLD 25956 51.957031 1691760750.6842
CHLD 25957 12.582031 1691760750.6842
CHLD 25958 502.527344 1691760750.6842
CHLD 25959 297.894531 1691760750.6842
CHLD 25960 297.898438 1691760750.6842
CHLD 25961 297.953125 1691760750.6842
MEM 1994.191406 1691760750.7884
CHLD 25956 51.957031 1691760750.7924
CHLD 25957 12.582031 1691760750.7924
CHLD 25958 502.527344 1691760750.7924
CHLD 25959 297.894531 1691760750.7924
CHLD 25960 297.898438 1691760750.7924
CHLD 25961 297.953125 1691760750.7924
MEM 1994.191406 1691760750.8974
CHLD 25956 51.957031 1691760750.9014
CHLD 25957 12.582031 1691760750.9014
CHLD 25958 502.527344 1691760750.9014
CHLD 25959 297.894531 1691760750.9015
CHLD 25960 297.898438 1691760750.9015
CHLD 25961 297.953125 1691760750.9015
MEM 1994.191406 1691760751.0063
CHLD 25956 51.957031 1691760751.0110
CHLD 25957 12.582031 1691760751.0110
CHLD 25958 502.527344 1691760751.0110
CHLD 25959 297.894531 1691760751.0110
CHLD 25960 297.898438 1691760751.0110
CHLD 25961 297.953125 1691760751.0110
MEM 1994.191406 1691760751.1153
CHLD 25956 51.957031 1691760751.1191
CHLD 25957 12.582031 1691760751.1191
CHLD 25958 502.527344 1691760751.1191
CHLD 25959 297.894531 1691760751.1192
CHLD 25960 297.898438 1691760751.1192
CHLD 25961 297.953125 1691760751.1192
MEM 1994.191406 1691760751.2233
CHLD 25956 51.957031 1691760751.2270
CHLD 25957 12.582031 1691760751.2271
CHLD 25958 502.527344 1691760751.2271
CHLD 25959 297.894531 1691760751.2271
CHLD 25960 297.898438 1691760751.2271
CHLD 25961 297.953125 1691760751.2272
MEM 1994.191406 1691760751.3319
CHLD 25956 51.957031 1691760751.3365
CHLD 25957 12.582031 1691760751.3366
CHLD 25958 502.527344 1691760751.3366
CHLD 25959 297.894531 1691760751.3366
CHLD 25960 297.898438 1691760751.3366
CHLD 25961 297.953125 1691760751.3366
MEM 1994.191406 1691760751.4408
CHLD 25956 51.957031 1691760751.4449
CHLD 25957 12.582031 1691760751.4449
CHLD 25958 502.527344 1691760751.4449
CHLD 25959 297.894531 1691760751.4449
CHLD 25960 297.898438 1691760751.4449
CHLD 25961 297.953125 1691760751.4449
MEM 1994.191406 1691760751.5492
CHLD 25956 51.957031 1691760751.5529
CHLD 25957 12.582031 1691760751.5529
CHLD 25958 502.527344 1691760751.5530
CHLD 25959 297.894531 1691760751.5530
CHLD 25960 297.898438 1691760751.5530
CHLD 25961 297.953125 1691760751.5530
MEM 1994.191406 1691760751.6573
CHLD 25956 51.957031 1691760751.6611
CHLD 25957 12.582031 1691760751.6611
CHLD 25958 502.527344 1691760751.6611
CHLD 25959 297.894531 1691760751.6611
CHLD 25960 297.898438 1691760751.6611
CHLD 25961 297.953125 1691760751.6611
MEM 1994.191406 1691760751.7659
CHLD 25956 51.957031 1691760751.7704
CHLD 25957 12.582031 1691760751.7704
CHLD 25958 502.527344 1691760751.7704
CHLD 25959 297.894531 1691760751.7704
CHLD 25960 297.898438 1691760751.7704
CHLD 25961 297.953125 1691760751.7704
MEM 1994.191406 1691760751.8747
CHLD 25956 51.957031 1691760751.8787
CHLD 25957 12.582031 1691760751.8787
CHLD 25958 502.527344 1691760751.8788
CHLD 25959 297.894531 1691760751.8788
CHLD 25960 297.898438 1691760751.8788
CHLD 25961 297.953125 1691760751.8788
MEM 1832.324219 1691760751.9833
CHLD 25956 51.957031 1691760751.9871
CHLD 25957 12.582031 1691760751.9871
CHLD 25958 340.410156 1691760751.9871
CHLD 25959 297.894531 1691760751.9872
CHLD 25960 297.898438 1691760751.9872
CHLD 25961 297.953125 1691760751.9872
MEM 1832.324219 1691760752.0969
CHLD 25956 51.957031 1691760752.1106
CHLD 25957 12.582031 1691760752.1107
CHLD 25958 340.503906 1691760752.1107
CHLD 25959 329.835938 1691760752.1107
CHLD 25960 329.601562 1691760752.1108
CHLD 25961 340.617188 1691760752.1108
MEM 2397.308594 1691760752.2168
CHLD 25956 51.957031 1691760752.2227
CHLD 25957 12.582031 1691760752.2227
CHLD 25958 449.734375 1691760752.2227
CHLD 25959 449.785156 1691760752.2227
CHLD 25960 449.558594 1691760752.2228
CHLD 25961 450.062500 1691760752.2228
MEM 2504.449219 1691760752.3304
CHLD 25956 51.957031 1691760752.3365
CHLD 25957 12.582031 1691760752.3365
CHLD 25958 471.234375 1691760752.3366
CHLD 25959 471.289062 1691760752.3366
CHLD 25960 492.312500 1691760752.3366
CHLD 25961 471.445312 1691760752.3366
MEM 2537.324219 1691760752.4456
CHLD 25956 51.957031 1691760752.4595
CHLD 25957 12.582031 1691760752.4595
CHLD 25958 473.609375 1691760752.4595
CHLD 25959 482.289062 1691760752.4596
CHLD 25960 492.312500 1691760752.4596
CHLD 25961 492.945312 1691760752.4596
MEM 2548.324219 1691760752.5662
CHLD 25956 51.957031 1691760752.5806
