"","s0","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40"
"BTG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103269291569209,-0.0417002512526187,-0.0735341484704982,-0.11135675705747,-0.146793792249433,-0.176776582758467,-0.202630139095136,-0.245645236068839,-0.275554465727484,-0.314468607259899,-0.359291560264109,-0.40293705151619,-0.443736107449145,-0.486453207001902,-0.533039366926054,-0.580603148773286,-0.630542785911132,-0.677902252529359,-0.727958600793912,-0.779075519157851,-0.831762384706916,-0.885116593706318
"BTRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00623352227748354
"C10orf10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00991602564291894,-0.0381749885780131,-0.0574062959797005,-0.0684828726889691,-0.0728817144523936,-0.0791460958871022,-0.0896667221389647,-0.108975691273861,-0.128581145237191,-0.159969195520304,-0.18746997246754,-0.223668730572777,-0.263956865173556,-0.301532601469106,-0.332284404697453,-0.36421123880282,-0.397558840016996,-0.434157337609174,-0.474341974634207,-0.508790154693909,-0.546534839623943,-0.587051498759975,-0.629396966211231,-0.67397028285162
"C14orf129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147881961414041,0.0155206693563965,0.0295623184660008,0.0418521560276124,0.0535173109435521,0.062667042903886,0.0726642360056926,0.0824892148727025,0.0906795268181824,0.0986133880478735,0.105733048494243,0.112366466690963,0.119331562564705,0.124794009286771,0.12942018432161
"C15orf48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00465589104371804,0.012046931347316,0.016768492031509,0.0132788612045825,0.0148381648179448,0.00516416535006756,0.00286119501289599,0.00188137880399267,0.000598040281347881,0,0,0,0,0,0,0,0,0,0,0,0,0.000840132899837547,0.00382484175093895,0.0106537674272151,0.0247148749368479,0.0407460559967759,0.0589641118385808
"C16orf89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0243065090590222,-0.0468717552972743,-0.0643124700350405,-0.0856729820761196,-0.106151750124723,-0.114745569403355,-0.110742322084966,-0.105306257944285,-0.0976701879118564,-0.0907567638113951,-0.0799242369491118,-0.0720034934655923,-0.0585660354624856,-0.0457580699259138,-0.0275998190562889,-0.0140721789382084,-0.0095434602481884,-0.00769339142357162,-0.00674873080971597,-0.00695045325404928,-0.00800492224265696,-0.00807960341538643,-0.0100609118761168,-0.0122827993075468,-0.0147025723076374
"C17orf48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1GALT1C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00595634054132458,0.00959558060266891,0.0192393714973667,0.0243608640878645,0.0253474734653153,0.0211927415255263,0.0160972442937397,0.0159348708934642,0.0157348960907752,0.01657050977609,0.0166974183555497,0.0139330883613085,0.00995393413232246,0.00417284341007816,0.00535845360777349,0.00623596301652289,0.0108034759954065,0.0175522774537395,0.0257692378288802,0.0297456795989898,0.0332744738182776,0.0354724305373528,0.0362431348809225,0.036227324750048
"C20orf30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000643780832425277,0.00155965694451071,0.00249917152642851,0.00565624273646724,0.0112483850317388,0.0191449052734751,0.0272214014238142
